StartDate	EndDate	Status	IPAddress	Progress	Duration (in seconds)	Finished	RecordedDate	ResponseId	RecipientLastName	RecipientFirstName	RecipientEmail	ExternalReference	LocationLatitude	LocationLongitude	DistributionChannel	UserLanguage	Q2	Q3	Q4	Q5	Q6	Q8_1	Q8_2	Q8_3	Q8_4	Q8_5	Q8_6	Q8_7	Q8_8	Q8_9	Q8_10	Q8_11	Q8_12	Q8_13	Q8_14	Q8_15	Q9	Q10	Q11	Q12	Q13
2/22/22 11:05	2/22/22 11:09	IP Address	128.138.65.35	100	276	TRUE	2/22/22 11:09	R_2PtUEY9zkTNKiCE					40.01280212	-105.2759018	anonymous	EN	1300 - Alex Ray	Male	Yes	Freshman	Topic is useful for my career	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	I really like the warm tone he has during his explanation of course concepts.	I think he is doing great and does not need any improvement.	N/A	I have not gone to any remote instruction.	N/A
3/1/22 11:02	3/1/22 11:05	IP Address	128.138.65.76	100	188	TRUE	3/1/22 11:05	R_29yENc47KpEVwGJ					40.01280212	-105.2759018	anonymous	EN	1300 - Alex Ray	Male	Yes	Freshman	CS Major	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	I appreciate how my TA goes over the basics and reviews topics from previous sections.	More team/group based activities.	Makes sure assignments are up to date and is always available on EDStem.	N/A	N/A
3/1/22 11:28	3/1/22 11:29	IP Address	128.138.65.79	100	114	TRUE	3/1/22 11:29	R_2PhtrTwUYGN3ahg					40.01280212	-105.2759018	anonymous	EN	1300 - Alex Ray	Female	Yes	Junior	Fulfilling a requirement outside of CS	Strongly Disagree	Strongly Disagree	Strongly Disagree	Strongly Disagree	Strongly Disagree	Strongly Disagree	Strongly Disagree	Strongly Disagree	Strongly Disagree	Strongly Disagree	Strongly Disagree	Strongly Disagree	Strongly Disagree	Strongly Disagree	Strongly Disagree	He takes the time to review what we learned in class and go over the material we worked on in recitation 	na	na	na	na
3/1/22 11:27	3/1/22 11:30	IP Address	128.138.65.191	100	171	TRUE	3/1/22 11:30	R_bx5fCnq3dTrubjb					40.01280212	-105.2759018	anonymous	EN	1300 - Alex Ray	Female	Yes	Freshman	Interested in topic	Strongly Agree	Agree	Agree	Strongly Agree		Neither Agree nor Disagree	Agree	Agree	Disagree	Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	They do a good job of teaching all topics in a concise yet effective manner	I think it would be very useful if they shared the slides they presented in class with us afterwards, but that's about it	N/a	n/a	No
3/1/22 11:27	3/1/22 11:30	IP Address	128.138.65.162	100	164	TRUE	3/1/22 11:30	R_2S6xdkGbLhUmvJD					40.01280212	-105.2759018	anonymous	EN	1300 - Alex Ray	Male	Yes	Freshman	Fulfilling a requirement outside of CS	Strongly Agree	Strongly Agree	Agree	Strongly Agree	Agree	Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	He explains material in a clear concise manner.	none.	moves slowly and helps everyone who needs help.	na	na
3/1/22 11:27	3/1/22 11:30	IP Address	128.138.65.83	100	203	TRUE	3/1/22 11:30	R_24w2Q44sFFyPgtf					40.01280212	-105.2759018	anonymous	EN	1300 - Alex Ray	Male	Yes	Junior	Fulfilling a requirement outside of CS	Strongly Agree	Agree	Strongly Agree	Strongly Agree	Agree	Agree	Agree	Neither Agree nor Disagree	Agree	Agree	Agree	Strongly Agree	Strongly Agree		Agree	Seems to care about the subject and the success of the class 	n/a	n/a	n/a	no
3/1/22 11:27	3/1/22 11:31	IP Address	128.138.65.230	100	192	TRUE	3/1/22 11:31	R_3J1JgwuGkGdtL0C					40.01280212	-105.2759018	anonymous	EN	1300 - Alex Ray	Prefer not to answer	Yes	Freshman	Fulfilling a requirement outside of CS	Strongly Agree	Agree	Strongly Agree	Strongly Agree		Strongly Agree	Neither Agree nor Disagree	Agree	Disagree	Agree	Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	He is very knowledgeable and good at conveying information.	Nothing in particular comes to mind	N/A	N/A	No
3/1/22 11:28	3/1/22 11:31	IP Address	128.138.65.40	100	161	TRUE	3/1/22 11:31	R_1CqJwi9laTYg78l					40.01280212	-105.2759018	anonymous	EN	1300 - Alex Ray	Male	Yes	Sophmore	CS Major	Strongly Agree	Strongly Agree	Disagree	Agree	Agree	Disagree	Disagree	Neither Agree nor Disagree	Disagree	Agree	Neither Agree nor Disagree	Agree	Disagree	Agree	Agree		N/A			N/A
3/1/22 11:29	3/1/22 11:31	IP Address	128.138.65.211	100	136	TRUE	3/1/22 11:31	R_1cZf4ON6mp7qm4W					40.01280212	-105.2759018	anonymous	EN	1300 - Alex Ray	Male	Yes	Freshman	Topic is useful for my career	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	He is very well-spoken.	He could easily teach lectures.	We are not remote.	We are in person.	Nope.
3/1/22 11:29	3/1/22 11:31	IP Address	128.138.65.248	100	154	TRUE	3/1/22 11:31	R_2xWQf88pp5FbEIr					40.01280212	-105.2759018	anonymous	EN	1300 - Alex Ray	Male	Yes	Freshman	Fulfilling a requirement outside of CS	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Agree	Strongly Agree	Neither Agree nor Disagree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Alex is down to earth and practical, and helps us understand the core concepts of what we are coding.	N/A	For the first two weeks of the semester, the online recitation still seemed effective.	N/A	N/A
3/1/22 11:29	3/1/22 11:31	IP Address	128.138.65.73	100	167	TRUE	3/1/22 11:31	R_1N1WHHsYSMhGzMC					40.01280212	-105.2759018	anonymous	EN	1300 - Alex Ray	Male	Yes	Freshman	Fulfilling a requirement outside of CS	Strongly Agree	Agree	Agree	Strongly Agree	Strongly Agree	Agree	Strongly Agree	Agree	Strongly Agree	Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	I feel like I get more instruction during my cs recitation than I do in lecture.	Alex sometimes fails to obtain class engagement. I think that may not be his fault but the class'.	Alex does not really do anything for remote learning.	Sending out email recaps of the information learned and covered in recitation.	no
3/1/22 11:02	3/1/22 11:31	IP Address	128.138.65.127	100	1771	TRUE	3/1/22 11:31	R_2VsQLSv0r8R1tR6					40.01280212	-105.2759018	anonymous	EN	1300 - Alex Ray	Female	Yes	Freshman	CS Minor	Strongly Agree	Agree	Agree	Agree	Agree	Neither Agree nor Disagree	Disagree	Disagree	Agree	Neither Agree nor Disagree			Agree	Strongly Agree	Strongly Agree	always answers questions in recitation, makes slides that are understandable, and always provides examples 	provide one on one help for students. have a workshop recitation where we work on homework and can ask general questions 	NA (only had for two weeks so no feedback) 	NA (only had for two weeks so no feedback) 	NA
3/1/22 11:27	3/1/22 11:31	IP Address	128.138.65.99	100	262	TRUE	3/1/22 11:31	R_1dajJZseRD8yiEZ					40.01280212	-105.2759018	anonymous	EN	1300 - Alex Ray	Male	Yes	Freshman	CS Major	Strongly Agree	Agree	Strongly Agree	Strongly Agree	Agree	Strongly Agree	Agree	Agree	Neither Agree nor Disagree	Strongly Agree	Strongly Agree	Strongly Agree	Agree	Strongly Agree	Agree	He teaches it in a way that is easy to understand and takes time for people's questions to make sure we understand 	I wish his office hours were a little more prominent but outside of that he is a great TA who I have enjoyed having	We were only online for two weeks so it's hard to give any viable feedback	N/A	N/A
3/1/22 11:29	3/1/22 11:32	IP Address	128.138.65.68	100	172	TRUE	3/1/22 11:32	R_CaAtdBZNxcSjLjj					40.01280212	-105.2759018	anonymous	EN	1300 - Alex Ray	Female	No	Freshman	Topic is useful for my career	Strongly Agree	Agree	Strongly Agree	Strongly Agree		Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Wants us to succeed in the course and makes sure we understand. Happy to re-explain anything we don't understand	None			None
3/1/22 11:28	3/1/22 11:32	IP Address	128.138.65.143	100	224	TRUE	3/1/22 11:32	R_2WGxDLdSRTW6iGZ					40.01280212	-105.2759018	anonymous	EN	1300 - Alex Ray	Female	Yes	Freshman	Fulfilling a requirement outside of CS	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Neither Agree nor Disagree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	He speaks very clearly and you can tell he cares :)	Can't really think of any? Alex is organized, punctual, good at what he does, communicates clearly, and is respectful. 	Gets to the point quickly and is available for help. But we really aren't in remote learning.	Ah he did great. We aren't in remote anymore. N/A	nah
3/1/22 11:29	3/1/22 11:32	IP Address	128.138.65.41	100	168	TRUE	3/1/22 11:32	R_6J4yUko6rn27sC5					40.01280212	-105.2759018	anonymous	EN	1300 - Alex Ray	Male	Yes	Freshman	Fulfilling a requirement outside of CS	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	I appreciate how he leaves the floor open to questions after each new topic we learn. It helps me, and most likely many others, successfully keep up with the course.	N/A	I do not do remote learning with my TA.	We do not do remote instruction.	N/A
3/1/22 11:28	3/1/22 11:32	IP Address	128.138.65.60	100	216	TRUE	3/1/22 11:32	R_2ALnEptK0d4i2LN					40.01280212	-105.2759018	anonymous	EN	1300 - Alex Ray	Male	Yes	Freshman	CS Major	Strongly Agree	Agree	Strongly Agree	Strongly Agree		Strongly Agree	Agree	Neither Agree nor Disagree	Strongly Agree	Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	He explains everything in recitation very well.	Everything he is doing right now works for me.	n/a	n/a	Some TA's are very rude in the helproom 
3/1/22 11:27	3/1/22 11:33	IP Address	128.138.65.75	100	330	TRUE	3/1/22 11:33	R_sNhfw9umzj4QYiB					40.01280212	-105.2759018	anonymous	EN	1300 - Alex Ray	Male	Yes	Freshman	Fulfilling a requirement outside of CS	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree		Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Communicates/instructs in a clear, concise manner.	Would be helpful if our recitations went into more depth when covering material from previous lectures.	N/A	N/A	N/A
3/1/22 11:29	3/1/22 11:33	IP Address	128.138.65.98	100	244	TRUE	3/1/22 11:33	R_01XYRfdaCg4gYlH					40.01280212	-105.2759018	anonymous	EN	1300 - Alex Ray	Male	Yes	Freshman	Fulfilling a requirement outside of CS	Strongly Agree	Agree	Agree	Neither Agree nor Disagree	Agree	Strongly Agree	Agree	Agree	Strongly Agree	Agree	Agree	Agree	Agree	Agree	Neither Agree nor Disagree	I appreciate his tendency to acknowledge that we are less informed than he is, and it may take more time to understand than he would.	Can't think of anything except maybe more resources available on canvas.	I don't go to online lectures.	Record for later studying.	No other feedback.
3/1/22 11:29	3/1/22 11:34	IP Address	128.138.65.71	100	297	TRUE	3/1/22 11:34	R_3IcMDhAxpqHj2MF					40.01280212	-105.2759018	anonymous	EN	1300 - Alex Ray	Female	Yes	Sophmore	CS Major	Strongly Agree	Agree	Strongly Agree	Strongly Agree		Strongly Agree	Neither Agree nor Disagree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	I appreciate that he explains materials in a way that I can understand and is very willing to give feedback in class.	I wish there was a larger variety of recitation activities	N/A	N/A	N/A
3/1/22 11:31	3/1/22 11:34	IP Address	128.138.65.150	100	209	TRUE	3/1/22 11:34	R_1msH1fjTXRLBkqy					40.01280212	-105.2759018	anonymous	EN	1300 - Alex Ray	Female	Yes	Freshman	Fulfilling a requirement outside of CS	Agree	Strongly Agree	Strongly Agree	Strongly Agree		Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Alex is always very friendly to students and happy to answer questions, making sure the student fully understands.	N/A	At the beginning of the semester, the breakout rooms we participated in were helpful to me.	N/A	N/A
3/1/22 11:29	3/1/22 11:35	IP Address	128.138.65.218	100	346	TRUE	3/1/22 11:35	R_1EgKzHPSWiwM3xP					40.01280212	-105.2759018	anonymous	EN	1300 - Alex Ray	Male	Yes	Freshman	CS Major	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Agree	Strongly Agree	Strongly Disagree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	How open he is to questions.	No criticism	teach?	I dont know	no
3/1/22 11:32	3/1/22 11:35	IP Address	128.138.65.205	100	195	TRUE	3/1/22 11:35	R_3m1wedzUkWXiThQ					40.01280212	-105.2759018	anonymous	EN	1300 - Alex Ray	Male	Yes	Sophmore	Fulfilling a requirement outside of CS	Strongly Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Disagree	Neither Agree nor Disagree	Agree	Agree	Agree	Agree	Agree	He is very understanding and takes time to explain things.	Maybe do more examples or relate the new material to last weeks	N/A	N/A	No
3/1/22 11:33	3/1/22 11:35	IP Address	128.138.65.233	100	120	TRUE	3/1/22 11:35	R_9Zw0eCyDGWD5h4J					40.01280212	-105.2759018	anonymous	EN	1300 - Alex Ray	Female	Yes	Freshman	CS Minor	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree		Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Alex is very thorough and understanding.	He could be more assertive in the room.			N/A
3/1/22 11:29	3/1/22 11:35	IP Address	128.138.65.70	100	363	TRUE	3/1/22 11:36	R_2ta5MSnnsZMFFA9					40.01280212	-105.2759018	anonymous	EN	1300 - Alex Ray	Male	Yes	Freshman	Fulfilling a requirement outside of CS	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree		Strongly Agree	Agree	Neither Agree nor Disagree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree		Strongly Agree	I like how he explains everything willingly	I guess it would be nice if he came a little better prepared	Not applicable	Not applicable	none
3/1/22 11:32	3/1/22 11:36	IP Address	128.138.65.252	100	199	TRUE	3/1/22 11:36	R_3r1Bl2uC23Dq2CP					40.01280212	-105.2759018	anonymous	EN	1300 - Alex Ray	Female	Yes	Freshman	Fulfilling a requirement outside of CS	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Disagree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	He explains the topics in class very well. He answers all questions thoroughly. Overall, a great TA. 	None	n/a	n/a	no
2/17/22 17:11	2/17/22 17:16	IP Address	66.129.50.35	100	321	TRUE	2/17/22 17:16	R_116qLP7090EnF8v					40.14520264	-105.1667023	anonymous	EN	1300 - Baljot Kaur	Female	Yes	Freshman	Interested in topic	Strongly Agree	Strongly Agree	Strongly Agree	Agree	Agree	Strongly Agree	Strongly Agree	Strongly Agree	Agree	Strongly Agree	Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree		Possibly knowing stuff a bit better before class. But that is very very minor and in a way helps to show use how you problem solve a situation			Not that I can think of.
2/17/22 18:27	2/17/22 18:28	IP Address	128.138.12.58	100	75	TRUE	2/17/22 18:28	R_1eDhhXaC6EgtUTH					39.9815979	-105.2558975	anonymous	EN	1300 - Baljot Kaur	Male	Yes	Freshman	CS Major	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Agree	Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	n/a	n/a	n/a	n/a	n/a
2/17/22 23:36	2/17/22 23:39	IP Address	128.138.65.129	100	164	TRUE	2/17/22 23:39	R_1daIZjQ0tTEBDS1					40.01280212	-105.2759018	anonymous	EN	1300 - Baljot Kaur	Non-Binary	Yes	Junior	Fulfilling a requirement outside of CS	Strongly Agree	Agree	Strongly Agree	Strongly Agree		Agree	Neither Agree nor Disagree	Neither Agree nor Disagree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Jot is caring and knows what she's talking about. I think she communicates with us well and does a good job adjusting as she receives critique or suggestions. 	Honestly can't think of anything she could do to improve. The issues with this class stem from lecture, not recitation. 			A lot of your male TAs are misogynistic and unwelcoming to female/femme presenting students in office hours. 
2/21/22 14:38	2/21/22 14:39	IP Address	128.138.65.77	100	46	TRUE	2/21/22 14:39	R_1jVc8iOsEf9Y3ZO					40.01280212	-105.2759018	anonymous	EN	1300 - Baljot Kaur	Male	Yes	Freshman	CS Major	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	n/a	n/a	n/a	n/a	n/a
2/21/22 14:38	2/21/22 14:40	IP Address	128.138.65.100	100	120	TRUE	2/21/22 14:40	R_Ojx8BpBHmnd462d					40.01280212	-105.2759018	anonymous	EN	1300 - Baljot Kaur	Male	Yes	Sophmore	Fulfilling a requirement outside of CS	Strongly Agree	Agree	Strongly Agree	Strongly Agree		Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	She's very good at explaining the concepts and breaking them down into a digestible manner. 	Not sure	n/a	n/a	n/a
2/21/22 14:38	2/21/22 14:40	IP Address	128.138.65.182	100	137	TRUE	2/21/22 14:40	R_1JXycvwUWIx8owl					40.01280212	-105.2759018	anonymous	EN	1300 - Baljot Kaur	Male	Yes	Freshman	CS Major	Strongly Agree	Agree	Strongly Agree	Strongly Agree		Strongly Agree	Strongly Agree	Agree	Neither Agree nor Disagree	Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	She is very enthusiastic and patient	Sometimes there is just too much in the recitation plans for us to cover in the allotted time.	n/a	n/a	No
2/21/22 14:38	2/21/22 14:41	IP Address	128.138.65.32	100	132	TRUE	2/21/22 14:41	R_2diurIWD7t7Hex7					40.01280212	-105.2759018	anonymous	ZH-S	1300 - Baljot Kaur	Male	No	Freshman	CS Major	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	N/A	N/A	N/A	N/A	N/A
2/21/22 14:38	2/21/22 14:41	IP Address	128.138.65.147	100	169	TRUE	2/21/22 14:41	R_BYgVjKXHEYjdVw5					40.01280212	-105.2759018	anonymous	EN	1300 - Baljot Kaur	Male	Yes	Sophmore	Fulfilling a requirement outside of CS	Strongly Agree	Agree	Agree	Strongly Agree	Neither Agree nor Disagree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Always positive and helpful	Not much	Never had remote with them	N/A	N/A
2/21/22 14:38	2/21/22 14:41	IP Address	128.138.65.42	100	166	TRUE	2/21/22 14:41	R_10IecTtu3mi3XQ6					40.01280212	-105.2759018	anonymous	EN	1300 - Baljot Kaur	Male	Yes	Sophmore	CS Minor	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree			Strongly Agree	Agree	Agree	Strongly Agree			Strongly Agree	Strongly Agree	Strongly Agree	It is easy to relate to her since she completed the same classes and homework we are doing. 	If she could post her recitation notes online that would be awesome. If she is I was unaware of that. 	Not applicable. 	Not applicable. 	No. 
